KPI,Building_1,Building_10,Building_11,Building_12,Building_13,Building_14,Building_15,Building_16,Building_17,Building_2,Building_3,Building_4,Building_5,Building_6,Building_7,Building_8,Building_9,District
building_ev_total_charge_business_as_usual_kwh,2325.7570992426104,2386.604916951619,0.0,2097.693298831326,0.0,0.0,7118.936859866662,0.0,0.0,0.0,0.0,2934.246157207266,2057.7861144915223,0.0,2255.40830790624,0.0,0.0,
building_ev_total_charge_delta_to_business_as_usual_kwh,-954.2492023424334,-1129.7814077353105,0.0,-673.9276520160261,0.0,0.0,-3008.85045125155,0.0,0.0,0.0,0.0,-1144.773868121878,-660.3643322363496,0.0,-792.3103111945093,0.0,0.0,
building_ev_total_charge_kwh,1371.507896900177,1256.8235092163086,0.0,1423.7656468153,0.0,0.0,4110.086408615112,0.0,0.0,0.0,0.0,1789.4722890853882,1397.4217822551727,0.0,1463.097996711731,0.0,0.0,
building_ev_total_v2g_export_business_as_usual_kwh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
building_ev_total_v2g_export_delta_to_business_as_usual_kwh,10.828484177589417,11.764038264751434,0.0,0.0,0.0,0.0,37.87137883901596,0.0,0.0,0.0,0.0,0.0,1.938726156949997,0.0,13.496830880641937,0.0,0.0,
building_ev_total_v2g_export_kwh,10.828484177589417,11.764038264751434,0.0,0.0,0.0,0.0,37.87137883901596,0.0,0.0,0.0,0.0,0.0,1.938726156949997,0.0,13.496830880641937,0.0,0.0,
building_solar_self_consumption_community_market_local_share_of_demand_ratio,0.014462934814899724,0.1068280292243251,0.17130622869503806,0.2115297069029492,0.19400892609973844,0.18003099245786092,0.2540099807863751,0.06748130733525998,0.1724531869332614,0.15247067862412686,0.13946755655553608,0.02479142284469921,0.04492507953932914,0.16236598012243836,0.06122596960620474,0.11990298853265444,0.11722096484905244,
building_solar_self_consumption_community_market_local_share_of_export_ratio,0.31139900929092895,0.2659588167979926,0.2849667088156528,0.6107463738383576,0.2886164377148876,0.29799269833652586,0.9366773937586416,0.2542031779432203,0.34132609087850263,0.24647335428926512,0.3362652149217269,0.39512014074473517,0.3048599651797483,0.2974908421904017,0.2778532499734591,0.33216435901644487,0.28276024736822325,
building_solar_self_consumption_daily_average_export_business_as_usual_kwh,41.75208651283015,8.01164651379593,1.0388010263919603,0.8657476090380699,1.2095656685601954,0.031151171820261527,0.005250220375695546,8.475538599770283,3.187052379509973,1.6674290154615659,3.1394014407469686,7.101656737576624,22.702687294867676,0.46367354585620024,23.89539535343833,3.963572136672952,4.193142921756533,
building_solar_self_consumption_daily_average_export_delta_to_business_as_usual_kwh,2.7938067935194724,3.4623094268530803,2.826116396278458,2.028903869255583,3.8409734362547194,2.1174236261222945,0.003155778443115601,4.099156263557864,3.5775193699801893,3.319665505814964,3.1971086594532365,4.013837882624626,2.496118717890731,3.580288577382464,4.161007484104328,4.543540351634184,3.7526287838766326,
